愛育,あいいく,aiiku
公家,くげ,kuge
苦言,くげん,kugen
草,くさ,kusa
草刈り,くさかり,kusakari
草木,くさき,kusaki
草地,くさち,kusachi
草取り,くさとり,kusatori
草原,くさはら,kusahara
草花,くさばな,kusabana
楔,くさび,kusabi
草笛,くさぶえ,kusabue
草葺き,くさぶき,kusabuki
草枕,くさまくら,kusamakura
草叢,くさむら,kusamura
草餅,くさもち,kusamochi
鎖,くさり,kusari
腐れ縁,くされえん,kusareen
草分け,くさわけ,kusawake
駆使,くし,kushi
苦心,くしん,kushin
くす玉,くすだま,kusudama
薬,くすり,kusuri
薬屋,くすりや,kusuriya
薬指,くすりゆび,kusuriyubi
癖,くせ,kuse
苦節,くせつ,kusetsu
曲者,くせもの,kusemono
苦戦,くせん,kusen
糞,くそ,kuso
管,くだ,kuda
果物,くだもの,kudamono
下り坂,くだりざか,kudarizaka
下り線,くだりせん,kudarisen
口,くち,kuchi
口開け,くちあけ,kuchiake
口裏,くちうら,kuchiura
口絵,くちえ,kuchie
口金,くちがね,kuchigane
口利き,くちきき,kuchikiki
駆逐,くちく,kuchiku
口癖,くちぐせ,kuchiguse
口々,くちぐち,kuchiguchi
口答え,くちごたえ,kuchigotae
口先,くちさき,kuchisaki
口添え,くちぞえ,kuchizoe
口出し,くちだし,kuchidashi
口止め,くちどめ,kuchidome
口無し,くちなし,kuchinashi
くちばし,くちばし,kuchibashi
口火,くちび,kuchibi
唇,くちびる,kuchibiru
口笛,くちぶえ,kuchibue
口振り,くちぶり,kuchiburi
口偏,くちへん,kuchihen
口紅,くちべに,kuchibeni
口真似,くちまね,kuchimane
口元,くちもと,kuchimoto
靴,くつ,kutsu
靴下,くつした,kutsushita
轡,くつわ,kutsuwa
句点,くてん,kuten
功徳,くどく,kudoku
宮内,くない,kunai
苦難,くなん,kunan
国,くに,kuni
国構え,くにがまえ,kunigamae
国柄,くにがら,kunigara
狗肉,くにく,kuniku
国々,くにぐに,kuniguni
国境,くにざかい,kunizakai
国元,くにもと,kunimoto
橡,くぬぎ,kunugi
苦杯,くはい,kuhai
首,くび,kubi
軛,くびき,kubiki
首切り,くびきり,kubikiri
首吊り,くびつり,kubitsuri
首輪,くびわ,kubiwa
区部,くぶ,kubu
区分,くぶん,kubun
区別,くべつ,kubetsu
凹地,くぼち,kubochi
熊,くま,kuma
隈笹,くまざさ,kumazasa
熊手,くまで,kumade
隈取り,くまどり,kumadori
熊蜂,くまばち,kumabachi
組,くみ,kumi
組合,くみあい,kumiai
組員,くみいん,kumiin
組み手,くみて,kumite
区民,くみん,kumin
工面,くめん,kumen
蜘蛛,くも,kumo
雲隠れ,くもがくれ,kumogakure
供物,くもつ,kumotsu
雲間,くもま,kumoma
蜘蛛膜,くもまく,kumomaku
雲行き,くもゆき,kumoyuki
曇,くもり,kumori
曇り空,くもりぞら,kumorizora
苦悶,くもん,kumon
蔵,くら,kura
位,くらい,kurai
位取り,くらいどり,kuraidori
鞍替え,くらがえ,kuragae
暗がり,くらがり,kuragari
苦楽,くらく,kuraku
くらげ,くらげ,kurage
比べ物,くらべもの,kurabemono
蔵元,くらもと,kuramoto
暗闇,くらやみ,kurayami
庫裏,くり,kuri
栗毛,くりげ,kurige
繰り言,くりごと,kurigoto
区立,くりつ,kuritsu
来る年,くるとし,kurutoshi
踝,くるぶし,kurubushi
車,くるま,kuruma
車座,くるまざ,kurumaza
車代,くるまだい,kurumadai
車偏,くるまへん,kurumahen
胡桃,くるみ,kurumi
暮れ方,くれがた,kuregata
紅,くれない,kurenai
黒,くろ,kuro
くろがね,くろがね,kurogane
黒焦げ,くろこげ,kurokoge
黒潮,くろしお,kuroshio
黒白,くろしろ,kuroshiro
黒土,くろつち,kurotsuchi
黒船,くろふね,kurofune
黒縁,くろぶち,kurobuchi
黒星,くろぼし,kuroboshi
黒幕,くろまく,kuromaku
黒松,くろまつ,kuromatsu
黒豆,くろまめ,kuromame
黒山,くろやま,kuroyama
桑,くわ,kuwa
鍬形,くわがた,kuwagata
区分け,くわけ,kuwake
区割り,くわり,kuwari
訓告,くんこく,kunkoku
君子,くんし,kunshi
燻製,くんせい,kunsei
訓読,くんどく,kundoku
訓読み,くんよみ,kunyomi
君臨,くんりん,kunrin
訓令,くんれい,kunrei
訓練,くんれん,kunren
訓話,くんわ,kunwa
具合,ぐあい,guai
具現,ぐげん,gugen
愚策,ぐさく,gusaku
具申,ぐしん,gushin
具体,ぐたい,gutai
愚痴,ぐち,guchi
具備,ぐび,gubi
胡頽子,ぐみ,gumi
愚民,ぐみん,gumin
愚問,ぐもん,gumon
群,ぐん,gun
軍医,ぐんい,guni
軍歌,ぐんか,gunka
軍拡,ぐんかく,gunkaku
軍艦,ぐんかん,gunkan
軍旗,ぐんき,gunki
軍国,ぐんこく,gunkoku
群生,ぐんせい,gunsei
軍勢,ぐんぜい,gunzei
軍属,ぐんぞく,gunzoku
軍隊,ぐんたい,guntai
軍団,ぐんだん,gundan
軍手,ぐんて,gunte
群読,ぐんどく,gundoku
群落,ぐんらく,gunraku
毛穴,けあな,keana
刑,けい,kei
敬愛,けいあい,keiai
経緯,けいい,keii
経営,けいえい,keiei
敬遠,けいえん,keien
経過,けいか,keika
警戒,けいかい,keikai
計画,けいかく,keikaku
景観,けいかん,keikan
慶賀,けいが,keiga
形骸,けいがい,keigai
刑期,けいき,keiki
経験,けいけん,keiken
軽減,けいげん,keigen
稽古,けいこ,keiko
警告,けいこく,keikoku
稽古事,けいこごと,keikogoto
警護,けいご,keigo
掲載,けいさい,keisai
警察,けいさつ,keisatsu
計算,けいさん,keisan
経済,けいざい,keizai
軽視,けいし,keishi
型式,けいしき,keishiki
軽震,けいしん,keishin
形成,けいせい,keisei
形跡,けいせき,keiseki
経線,けいせん,keisen
計測,けいそく,keisoku
継続,けいぞく,keizoku
携帯,けいたい,keitai
境内,けいだい,keidai
啓蟄,けいちつ,keichitsu
警笛,けいてき,keiteki
毛糸,けいと,keito
経度,けいど,keido
鶏肉,けいにく,keiniku
啓発,けいはつ,keihatsu
競馬,けいば,keiba
刑罰,けいばつ,keibatsu
経費,けいひ,keihi
景品,けいひん,keihin
警備,けいび,keibi
系譜,けいふ,keifu
敬服,けいふく,keifuku
軽侮,けいぶ,keibu
軽蔑,けいべつ,keibetsu
契約,けいやく,keiyaku
経由,けいゆ,keiyu
警邏,けいら,keira
鶏卵,けいらん,keiran
経理,けいり,keiri
競輪,けいりん,keirin
敬礼,けいれい,keirei
経歴,けいれき,keireki
系列,けいれつ,keiretsu
痙攣,けいれん,keiren
毛色,けいろ,keiro
稀有,けう,keu
毛織り,けおり,keori
怪我,けが,kega
怪我人,けがにん,keganin
毛皮,けがわ,kegawa
毛嫌い,けぎらい,kegirai
今朝,けさ,kesa
毛先,けさき,kesaki
芥子,けし,keshi
消印,けしいん,keshiin
景色,けしき,keshiki
芥子粒,けしつぶ,keshitsubu
化身,けしん,keshin
桁,けた,keta
獣,けもの,kemono
欠,けつ,ketsu
血圧,けつあつ,ketsuatsu
決意,けつい,ketsui
欠員,けついん,ketsuin
血液,けつえき,ketsueki
血縁,けつえん,ketsuen
決議,けつぎ,ketsugi
血税,けつぜい,ketsuzei
血族,けつぞく,ketsuzoku
決断,けつだん,ketsudan
血肉,けつにく,ketsuniku
欠番,けつばん,ketsuban
決別,けつべつ,ketsubetsu
結末,けつまつ,ketsumatsu
欠落,けつらく,ketsuraku
決裂,けつれつ,ketsuretsu
結論,けつろん,ketsuron
毛並み,けなみ,kenami
毛抜,けぬき,kenuki
懸念,けねん,kenen
気配,けはい,kehai
毛鉤,けばり,kebari
蹴鞠,けまり,kemari
毛虫,けむし,kemushi
煙,けむり,kemuri
獣偏,けものへん,kemonohen
欅,けやき,keyaki
家来,けらい,kerai
けり,けり,keri
けろりと,けろりと,kerorito
件,けん,ken
懸案,けんあん,kenan
権威,けんい,keni
牽引,けんいん,kenin
巻雲,けんうん,kenun
兼営,けんえい,kenei
検疫,けんえき,keneki
検閲,けんえつ,kenetsu
嫌悪,けんお,keno
検温,けんおん,kenon
喧嘩,けんか,kenka
県会,けんかい,kenkai
見学,けんがく,kengaku
検眼,けんがん,kengan
献金,けんきん,kenkin
建議,けんぎ,kengi
県警,けんけい,kenkei
献血,けんけつ,kenketsu
建言,けんげん,kengen
建国,けんこく,kenkoku
検査,けんさ,kensa
県債,けんさい,kensai
剣先,けんさき,kensaki
建策,けんさく,kensaku
検察,けんさつ,kensatsu
研鑽,けんさん,kensan
顕在,けんざい,kenzai
県境,けんざかい,kenzakai
剣山,けんざん,kenzan
検視,けんし,kenshi
見識,けんしき,kenshiki
検診,けんしん,kenshin
懸垂,けんすい,kensui
建制,けんせい,kensei
建設,けんせつ,kensetsu
謙遜,けんそん,kenson
倦怠,けんたい,kentai
剣玉,けんだま,kendama
検地,けんち,kenchi
建築,けんちく,kenchiku
検定,けんてい,kentei
建都,けんと,kento
兼任,けんにん,kennin
倹約,けんやく,kenyaku
謙抑,けんよく,kenyoku
権利,けんり,kenri
県立,けんりつ,kenritsu
県連,けんれん,kenren
芸,げい,gei
迎撃,げいげき,geigeki
芸子,げいこ,geiko
芸事,げいごと,geigoto
芸談,げいだん,geidan
芸人,げいにん,geinin
芸名,げいめい,geimei
外科,げか,geka
下界,げかい,gekai
下巻,げかん,gekan
劇,げき,geki
劇化,げきか,gekika
劇画,げきが,gekiga
激減,げきげん,gekigen
劇作,げきさく,gekisaku
劇作家,げきさくか,gekisakuka
激震,げきしん,gekishin
激戦,げきせん,gekisen
撃退,げきたい,gekitai
劇団,げきだん,gekidan
撃沈,げきちん,gekichin
撃墜,げきつい,gekitsui
激突,げきとつ,gekitotsu
激怒,げきど,gekido
撃破,げきは,gekiha
劇物,げきぶつ,gekibutsu
激変,げきへん,gekihen
激務,げきむ,gekimu
劇薬,げきやく,gekiyaku
激励,げきれい,gekirei
激論,げきろん,gekiron
下血,げけつ,geketsu
下剤,げざい,gezai
下山,げざん,gezan
夏至,げし,geshi
下水,げすい,gesui
下船,げせん,gesen
下足,げそく,gesoku
下駄,げた,geta
解脱,げだつ,gedatsu
下段,げだん,gedan
月,げつ,getsu
月額,げつがく,getsugaku
月面,げつめん,getsumen
月例,げつれい,getsurei
解毒,げどく,gedoku
解熱,げねつ,genetsu
下野,げや,geya
下落,げらく,geraku
下痢,げり,geri
元,げん,gen
減圧,げんあつ,genatsu
原案,げんあん,genan
原因,げんいん,genin
幻影,げんえい,genei
原液,げんえき,geneki
原価,げんか,genka
厳戒,げんかい,genkai
幻覚,げんかく,genkaku
厳寒,げんかん,genkan
原画,げんが,genga
言外,げんがい,gengai
減額,げんがく,gengaku
厳禁,げんきん,genkin
原義,げんぎ,gengi
減刑,げんけい,genkei
原告,げんこく,genkoku
拳骨,げんこつ,genkotsu
言語,げんご,gengo
原作,げんさく,gensaku
原産,げんさん,gensan
現在,げんざい,genzai
減算,げんざん,genzan
原始,げんし,genshi
原子核,げんしかく,genshikaku
玄室,げんしつ,genshitsu
減水,げんすい,gensui
現世,げんせ,gense
原生,げんせい,gensei
原石,げんせき,genseki
言説,げんせつ,gensetsu
厳選,げんせん,gensen
減税,げんぜい,genzei
元素,げんそ,genso
減速,げんそく,gensoku
現存,げんそん,genson
減退,げんたい,gentai
減反,げんたん,gentan
原題,げんだい,gendai
現地,げんち,genchi
原付き,げんつき,gentsuki
限定,げんてい,gentei
減点,げんてん,genten
限度,げんど,gendo
現生,げんなま,gennama
原野,げんや,genya
原油,げんゆ,genyu
原理,げんり,genri
言論,げんろん,genron
幻惑,げんわく,genwaku
恋,こい,koi
恋心,こいごころ,koigokoro
こいつ,こいつ,koitsu
鯉幟,こいのぼり,koinobori
恋人,こいびと,koibito
恋文,こいぶみ,koibumi
声,こえ,koe
小枝,こえだ,koeda
固化,こか,koka
木陰,こかげ,kokage
枯渇,こかつ,kokatsu
子飼い,こがい,kogai
古楽,こがく,kogaku
こがね,こがね,kogane
黄金色,こがねいろ,koganeiro
木枯らし,こがらし,kogarashi
湖岸,こがん,kogan
古希,こき,koki
小気味,こきび,kokibi
国,こく,koku
国威,こくい,kokui
刻印,こくいん,kokuin
国営,こくえい,kokuei
国益,こくえき,kokueki
黒煙,こくえん,kokuen
国学,こくがく,kokugaku
国技,こくぎ,kokugi
国軍,こくぐん,kokugun
国劇,こくげき,kokugeki
刻限,こくげん,kokugen
国語,こくご,kokugo
国債,こくさい,kokusai
国策,こくさく,kokusaku
国産,こくさん,kokusan
酷使,こくし,kokushi
国粋,こくすい,kokusui
国勢,こくせい,kokusei
国籍,こくせき,kokuseki
国選,こくせん,kokusen
国是,こくぜ,kokuze
告訴,こくそ,kokuso
国体,こくたい,kokutai
告知,こくち,kokuchi
国定,こくてい,kokutei
黒点,こくてん,kokuten
国土,こくど,kokudo
国難,こくなん,kokunan
告白,こくはく,kokuhaku
告発,こくはつ,kokuhatsu
黒板,こくばん,kokuban
国費,こくひ,kokuhi
国賓,こくひん,kokuhin
克服,こくふく,kokufuku
国文,こくぶん,kokubun
告別,こくべつ,kokubetsu
国保,こくほ,kokuho
国民,こくみん,kokumin
国務,こくむ,kokumu
国名,こくめい,kokumei
穀物,こくもつ,kokumotsu
国立,こくりつ,kokuritsu
穀類,こくるい,kokurui
国論,こくろん,kokuron
小口,こぐち,koguchi
孤軍,こぐん,kogun
苔,こけ,koke
固形,こけい,kokei
小芥子,こけし,kokeshi
個々,ここ,koko
故国,ここく,kokoku
心地,ここち,kokochi
心,こころ,kokoro
心意気,こころいき,kokoroiki
心根,こころね,kokorone
古今,ここん,kokon
古語,こご,kogo
小声,こごえ,kogoe
小言,こごと,kogoto
小作,こさく,kosaku
小雨,こさめ,kosame
古参,こさん,kosan
小細工,こざいく,kozaiku
小魚,こざかな,kozakana
阜偏,こざとへん,kozatohen
古紙,こし,koshi
漉し餡,こしあん,koshian
小潮,こしお,koshio
腰折れ,こしおれ,koshiore
来し方,こしかた,koshikata
古式,こしき,koshiki
固執,こしつ,koshitsu
腰抜け,こしぬけ,koshinuke
腰元,こしもと,koshimoto
湖水,こすい,kosui
個性,こせい,kosei
古生代,こせいだい,koseidai
戸籍,こせき,koseki
小銭,こぜに,kozeni
子育て,こそだて,kosodate
個体,こたい,kotai
答,こたえ,kotae
炬燵,こたつ,kotatsu
古代,こだい,kodai
子宝,こだから,kodakara
小出し,こだし,kodashi
木立,こだち,kodachi
木霊,こだま,kodama
こちら,こちら,kochira
骨,こつ,kotsu
骨壺,こつつぼ,kotsutsubo
骨盤,こつばん,kotsuban
小手,こて,kote
固定,こてい,kotei
鼓笛隊,こてきたい,kotekitai
小手先,こてさき,kotesaki
個展,こてん,koten
糊塗,こと,koto
事柄,ことがら,kotogara
今年,ことし,kotoshi
言葉,ことば,kotoba
寿,ことぶき,kotobuki
小鳥,ことり,kotori
諺,ことわざ,kotowaza
子供,こども,kodomo
粉,こな,kona
粉薬,こなぐすり,konagusuri
粉雪,こなゆき,konayuki
小糠,こぬか,konuka
粉糠雨,こぬかあめ,konukaame
此後,このあと,konoato
この頃,このごろ,konogoro
此際,このさい,konosai
此先,このさき,konosaki
此分,このぶん,konobun
此前,このまえ,konomae
此世,このよ,konoyo
琥珀,こはく,kohaku
こはぜ,こはぜ,kohaze
湖畔,こはん,kohan
小走り,こばしり,kobashiri
小旗,こばた,kobata
小咄,こばなし,kobanashi
子離れ,こばなれ,kobanare
小判,こばん,koban
木挽,こびき,kobiki
小人,こびと,kobito
古墳,こふん,kofun
鼓舞,こぶ,kobu
拳,こぶし,kobushi
古物,こぶつ,kobutsu
小舟,こぶね,kobune
古文,こぶん,kobun
個別,こべつ,kobetsu
独楽,こま,koma
狛犬,こまいぬ,komainu
細切り,こまぎり,komagiri
細切れ,こまぎれ,komagire
鼓膜,こまく,komaku
駒草,こまくさ,komakusa
駒鳥,こまどり,komadori
小間物,こまもの,komamono
困り者,こまりもの,komarimono
小回り,こまわり,komawari
込,こみ,komi
小見出し,こみだし,komidashi
小道,こみち,komichi
小麦,こむぎ,komugi
小麦色,こむぎいろ,komugiiro
小麦粉,こむぎこ,komugiko
小結,こむすび,komusubi
米,こめ,kome
蟀谷,こめかみ,komekami
米蔵,こめぐら,komegura
米粒,こめつぶ,kometsubu
米所,こめどころ,komedokoro
米糠,こめぬか,komenuka
米偏,こめへん,komehen
湖面,こめん,komen
薦,こも,komo
子持ち,こもち,komochi
小物,こもの,komono
子守り,こもり,komori
子守唄,こもりうた,komoriuta
木漏れ日,こもれび,komorebi
顧問,こもん,komon
小屋,こや,koya
小屋掛け,こやがけ,koyagake
子役,こやく,koyaku
小やみ,こやみ,koyami
小雪,こゆき,koyuki
小指,こゆび,koyubi
今宵,こよい,koyoi
暦,こよみ,koyomi
紙撚り,こより,koyori
懲り懲り,こりごり,korigori
孤立,こりつ,koritsu
頃,ころ,koro
頃合い,ころあい,koroai
衣,ころも,koromo
衣替え,ころもがえ,koromogae
衣偏,ころもへん,koromohen
声色,こわいろ,kowairo
小分け,こわけ,kowake
婚,こん,kon
紺色,こんいろ,koniro
婚姻,こんいん,konin
今回,こんかい,konkai
根幹,こんかん,konkan
懇願,こんがん,kongan
今季,こんき,konki
困苦,こんく,konku
根比べ,こんくらべ,konkurabe
混血,こんけつ,konketsu
今月,こんげつ,kongetsu
根源,こんげん,kongen
今後,こんご,kongo
混在,こんざい,konzai
混雑,こんざつ,konzatsu
懇親,こんしん,konshin
困睡,こんすい,konsui
懇請,こんせい,konsei
痕跡,こんせき,konseki
今節,こんせつ,konsetsu
混線,こんせん,konsen
根絶,こんぜつ,konzetsu
魂胆,こんたん,kontan
献立,こんだて,kondate
懇談,こんだん,kondan
根治,こんち,konchi
根底,こんてい,kontei
混沌,こんとん,konton
今度,こんど,kondo
今日,こんにち,konnichi
今夜,こんや,konya
婚約,こんやく,konyaku
混乱,こんらん,konran
婚礼,こんれい,konrei
懇話,こんわ,konwa
困惑,こんわく,konwaku
御挨拶,ごあいさつ,goaisatsu
語彙,ごい,goi
碁石,ごいし,goishi
誤飲,ごいん,goin
護衛,ごえい,goei
誤解,ごかい,gokai
互換,ごかん,gokan
語学,ごがく,gogaku
護岸,ごがん,gogan
語気,ごき,goki
ごきぶり,ごきぶり,gokiburi
獄,ごく,goku
極悪,ごくあく,gokuaku
極意,ごくい,gokui
極寒,ごくかん,gokukan
極秘,ごくひ,gokuhi
極貧,ごくひん,gokuhin
極細,ごくぼそ,gokuboso
極楽,ごくらく,gokuraku
互恵,ごけい,gokei
御家人,ごけにん,gokenin
護憲,ごけん,goken
語源,ごげん,gogen
五穀,ごこく,gokoku
午後,ごご,gogo
誤差,ごさ,gosa
後妻,ごさい,gosai
誤算,ごさん,gosan
茣蓙,ござ,goza
五色,ごしき,goshiki
誤診,ごしん,goshin
碁聖,ごせい,gosei
互選,ごせん,gosen
五線紙,ごせんし,gosenshi
午前,ごぜん,gozen
後手,ごて,gote
御殿,ごてん,goten
誤読,ごどく,godoku
誤認,ごにん,gonin
御破算,ごはさん,gohasan
御飯,ごはん,gohan
碁盤,ごばん,goban
語尾,ごび,gobi
護符,ごふ,gofu
呉服,ごふく,gofuku
五分,ごぶ,gobu
五分五分,ごぶごぶ,gobugobu
御無沙汰,ごぶさた,gobusata
語弊,ごへい,gohei
胡麻,ごま,goma
胡麻油,ごまあぶら,gomaabura
塵箱,ごみばこ,gomibako
御免,ごめん,gomen
五目,ごもく,gomoku
誤訳,ごやく,goyaku
娯楽,ごらく,goraku
御覧,ごらん,goran
御利益,ごりやく,goriyaku
五輪,ごりん,gorin
語呂,ごろ,goro
語録,ごろく,goroku
ごろつき,ごろつき,gorotsuki
権化,ごんげ,gonge
権現,ごんげん,gongen
債,さい,sai
再演,さいえん,saien
裁可,さいか,saika
再会,さいかい,saikai
才覚,さいかく,saikaku
細管,さいかん,saikan
災害,さいがい,saigai
再起,さいき,saiki
採金,さいきん,saikin
再議,さいぎ,saigi
細工,さいく,saiku
採掘,さいくつ,saikutsu
妻君,さいくん,saikun
採決,さいけつ,saiketsu
再建,さいけん,saiken
歳月,さいげつ,saigetsu
再現,さいげん,saigen
さいころ,さいころ,saikoro
再婚,さいこん,saikon
最期,さいご,saigo
幸先,さいさき,saisaki
採算,さいさん,saisan
妻子,さいし,saishi
再審,さいしん,saishin
採寸,さいすん,saisun
再生,さいせい,saisei
採石,さいせき,saiseki
再戦,さいせん,saisen
催促,さいそく,saisoku
臍帯,さいたい,saitai
採択,さいたく,saitaku
裁断,さいだん,saidan
裁定,さいてい,saitei
採点,さいてん,saiten
再度,さいど,saido
災難,さいなん,sainan
再任,さいにん,sainin
再燃,さいねん,sainen
采配,さいはい,saihai
再発,さいはつ,saihatsu
再版,さいはん,saihan
栽培,さいばい,saibai
菜箸,さいばし,saibashi
裁判,さいばん,saiban
採否,さいひ,saihi
財布,さいふ,saifu
細部,さいぶ,saibu
細分,さいぶん,saibun
再編,さいへん,saihen
歳末,さいまつ,saimatsu
細密,さいみつ,saimitsu
催眠,さいみん,saimin
債務,さいむ,saimu
細目,さいもく,saimoku
災厄,さいやく,saiyaku
再来,さいらい,sairai
採卵,さいらん,sairan
催涙,さいるい,sairui
祭礼,さいれい,sairei
再録,さいろく,sairoku
差益,さえき,saeki
竿,さお,sao
早乙女,さおとめ,saotome
竿秤,さおばかり,saobakari
坂,さか,saka
境,さかい,sakai
境目,さかいめ,sakaime
逆恨み,さかうらみ,sakaurami
榊,さかき,sakaki
酒蔵,さかぐら,sakagura
逆さ,さかさ,sakasa
逆立ち,さかだち,sakadachi
酒樽,さかだる,sakadaru
逆手,さかて,sakate
肴,さかな,sakana
酒場,さかば,sakaba
酒店,さかみせ,sakamise
坂道,さかみち,sakamichi
酒盛り,さかもり,sakamori
酒屋,さかや,sakaya
逆夢,さかゆめ,sakayume
盛り,さかり,sakari
盛り場,さかりば,sakariba
佐官,さかん,sakan
差額,さがく,sagaku
左岸,さがん,sagan
先,さき,saki
先頃,さきごろ,sakigoro
先々,さきざき,sakizaki
先取り,さきどり,sakidori
先払い,さきばらい,sakibarai
先触れ,さきぶれ,sakibure
先程,さきほど,sakihodo
先細り,さきぼそり,sakibosori
先回り,さきまわり,sakimawari
先物,さきもの,sakimono
防人,さきもり,sakimori
先行き,さきゆき,sakiyuki
砂金,さきん,sakin
詐欺,さぎ,sagi
作,さく,saku
作為,さくい,sakui
索引,さくいん,sakuin
作画,さくが,sakuga
作柄,さくがら,sakugara
削岩機,さくがんき,sakuganki
昨季,さくき,sakuki
削減,さくげん,sakugen
錯誤,さくご,sakugo
酢酸,さくさん,sakusan
作詞,さくし,sakushi
作成,さくせい,sakusei
作戦,さくせん,sakusen
策定,さくてい,sakutei
昨年,さくねん,sakunen
昨晩,さくばん,sakuban
作品,さくひん,sakuhin
作文,さくぶん,sakubun
作物,さくもつ,sakumotsu
昨夜,さくや,sakuya
桜,さくら,sakura
炸裂,さくれつ,sakuretsu
酒,さけ,sake
酒飲み,さけのみ,sakenomi
叫び声,さけびごえ,sakebigoe
裂け目,さけめ,sakeme
酒酔い,さけよい,sakeyoi
左舷,さげん,sagen
鎖国,さこく,sakoku
鎖骨,さこつ,sakotsu
笹,ささ,sasa
査察,ささつ,sasatsu
細雪,ささめゆき,sasameyuki
さざえ,さざえ,sazae
さざ波,さざなみ,sazanami
山茶花,さざんか,sazanka
刺し網,さしあみ,sashiami
挿絵,さしえ,sashie
差し金,さしがね,sashigane
挿し木,さしき,sashiki
差し手,さして,sashite
刺し身,さしみ,sashimi
指し物,さしもの,sashimono
砂州,さす,sasu
左折,させつ,sasetsu
左遷,させん,sasen
蠍,さそり,sasori
差損,さそん,sason
沙汰,さた,sata
札,さつ,satsu
撮影,さつえい,satsuei
五月,さつき,satsuki
札束,さつたば,satsutaba
薩摩芋,さつまいも,satsumaimo
査定,さてい,satei
砂鉄,さてつ,satetsu
里,さと,sato
里芋,さといも,satoimo
里帰り,さとがえり,satogaeri
里子,さとご,satogo
里心,さとごころ,satogokoro
早苗,さなえ,sanae
さなか,さなか,sanaka
蛹,さなぎ,sanagi
左派,さは,saha
鯖,さば,saba
砂漠,さばく,sabaku
錆,さび,sabi
左辺,さへん,sahen
差別,さべつ,sabetsu
様,さま,sama
五月雨,さみだれ,samidare
寒け,さむけ,samuke
寒空,さむぞら,samuzora
侍,さむらい,samurai
鮫,さめ,same
査問,さもん,samon
莢,さや,saya
さ湯,さゆ,sayu
左翼,さよく,sayoku
さより,さより,sayori
皿,さら,sara
皿洗い,さらあらい,saraarai
再来月,さらいげつ,saraigetsu
再来年,さらいねん,sarainen
更紗,さらさ,sarasa
晒し粉,さらしこ,sarashiko
更地,さらち,sarachi
猿,さる,saru
然る事,さること,sarukoto
百日紅,さるすべり,sarusuberi
猿真似,さるまね,sarumane
沢,さわ,sawa
沢蟹,さわがに,sawagani
鰆,さわら,sawara
左腕,さわん,sawan
参,さん,san
賛意,さんい,sani
散逸,さんいつ,sanitsu
参院,さんいん,sanin
参加,さんか,sanka
参会,さんかい,sankai
参画,さんかく,sankaku
参観,さんかん,sankan
参賀,さんが,sanga
山岳,さんがく,sangaku
三箇日,さんがにち,sanganichi
参議院,さんぎいん,sangiin
参詣,さんけい,sankei
酸欠,さんけつ,sanketsu
散見,さんけん,sanken
惨劇,さんげき,sangeki
産後,さんご,sango
山菜,さんさい,sansai
散策,さんさく,sansaku
散在,さんざい,sanzai
山市,さんし,sanshi
三振,さんしん,sanshin
散水,さんすい,sansui
三竦み,さんすくみ,sansukumi
参政,さんせい,sansei
山積,さんせき,sanseki
参戦,さんせん,sansen
酸素,さんそ,sanso
山村,さんそん,sanson
山賊,さんぞく,sanzoku
参内,さんだい,sandai
算段,さんだん,sandan
山地,さんち,sanchi
算定,さんてい,santei
三男,さんなん,sannan
山野,さんや,sanya
三役,さんやく,sanyaku
参与,さんよ,sanyo
散乱,さんらん,sanran
山林,さんりん,sanrin
参列,さんれつ,sanretsu
山麓,さんろく,sanroku
剤,ざい,zai
罪悪,ざいあく,zaiaku
在位,ざいい,zaii
財界,ざいかい,zaikai
在外,ざいがい,zaigai
在学,ざいがく,zaigaku
在勤,ざいきん,zaikin
財形,ざいけい,zaikei
財源,ざいげん,zaigen
在庫,ざいこ,zaiko
財産,ざいさん,zaisan
材質,ざいしつ,zaishitsu
財政,ざいせい,zaisei
在籍,ざいせき,zaiseki
在宅,ざいたく,zaitaku
財団,ざいだん,zaidan
在任,ざいにん,zainin
財閥,ざいばつ,zaibatsu
在民,ざいみん,zaimin
財務,ざいむ,zaimu
罪名,ざいめい,zaimei
材木,ざいもく,zaimoku
在野,ざいや,zaiya
在来,ざいらい,zairai
座頭,ざがしら,zagashira
座屈,ざくつ,zakutsu
柘榴,ざくろ,zakuro
雑魚,ざこ,zako
雑魚寝,ざこね,zakone
座視,ざし,zashi
座敷,ざしき,zashiki
座席,ざせき,zaseki
挫折,ざせつ,zasetsu
座禅,ざぜん,zazen
ざた,ざた,zata
座談,ざだん,zadan
雑役,ざつえき,zatsueki
雑音,ざつおん,zatsuon
雑談,ざつだん,zatsudan
雑念,ざつねん,zatsunen
雑文,ざつぶん,zatsubun
雑務,ざつむ,zatsumu
座布団,ざぶとん,zabuton
ざま,ざま,zama
ざら紙,ざらがみ,zaragami
粗目,ざらめ,zarame
笊,ざる,zaru
ざるそば,ざるそば,zarusoba
残,ざん,zan
残害,ざんがい,zangai
残額,ざんがく,zangaku
慙愧,ざんき,zanki
残金,ざんきん,zankin
懺悔,ざんげ,zange
讒言,ざんげん,zangen
残滓,ざんし,zanshi
残雪,ざんせつ,zansetsu
残存,ざんそん,zanson
残高,ざんだか,zandaka
暫定,ざんてい,zantei
残土,ざんど,zando
残塁,ざんるい,zanrui
試合,しあい,shiai
指圧,しあつ,shiatsu
思案,しあん,shian
