愛育,あいいく,aiiku
網の目,あみのめ,aminome
網目,あみめ,amime
網元,あみもと,amimoto
編み物,あみもの,amimono
雨,あめ,ame
飴色,あめいろ,ameiro
雨降,あめふらし,amefurashi
菖蒲,あやめ,ayame
鮎,あゆ,ayu
粗,あら,ara
洗い場,あらいば,araiba
荒海,あらうみ,araumi
荒稼ぎ,あらかせぎ,arakasegi
粗探し,あらさがし,arasagashi
嵐,あらし,arashi
新手,あらて,arate
荒波,あらなみ,aranami
荒巻き,あらまき,aramaki
あらまし,あらまし,aramashi
荒物,あらもの,aramono
霰,あられ,arare
蟻,あり,ari
有り明け,ありあけ,ariake
在りか,ありか,arika
有り金,ありがね,arigane
有り様,ありさま,arisama
在りし日,ありしひ,arishihi
荒れ地,あれち,arechi
荒れ野,あれの,areno
泡,あわ,awa
あわび,あわび,awabi
泡盛,あわもり,awamori
暗,あん,an
暗雲,あんうん,anun
暗記,あんき,anki
案件,あんけん,anken
餡子,あんこ,anko
あんさん,あんさん,ansan
安産,あんざん,anzan
暗室,あんしつ,anshitsu
安心,あんしん,anshin
安息,あんそく,ansoku
安息日,あんそくび,ansokubi
安打,あんだ,anda
安置,あんち,anchi
安定,あんてい,antei
暗転,あんてん,anten
安堵,あんど,ando
行灯,あんどん,andon
案内,あんない,annai
安寧,あんねい,annei
暗躍,あんやく,anyaku
威圧,いあつ,iatsu
慰安,いあん,ian
言い種,いいぐさ,iigusa
言い過ぎ,いいすぎ,iisugi
言い成り,いいなり,iinari
言い値,いいね,iine
言い分,いいぶん,iibun
言い訳,いいわけ,iiwake
医院,いいん,iin
家柄,いえがら,iegara
胃液,いえき,ieki
家出,いえで,iede
家並み,いえなみ,ienami
家元,いえもと,iemoto
以遠,いえん,ien
庵,いおり,iori
医科,いか,ika
威嚇,いかく,ikaku
いかさま,いかさま,ikasama
筏,いかだ,ikada
錨,いかり,ikari
移管,いかん,ikan
毬,いが,iga
遺骸,いがい,igai
医学,いがく,igaku
医学部,いがくぶ,igakubu
鋳型,いがた,igata
依願,いがん,igan
遺棄,いき,iki
生き埋め,いきうめ,ikiume
生き餌,いきえ,ikie
生きがい,いきがい,ikigai
行き掛け,いきがけ,ikigake
息切れ,いきぎれ,ikigire
行き先,いきさき,ikisaki
いきさつ,いきさつ,ikisatsu
生き様,いきざま,ikizama
息継ぎ,いきつぎ,ikitsugi
息抜き,いきぬき,ikinuki
息の根,いきのね,ikinone
生き仏,いきぼとけ,ikibotoke
生き物,いきもの,ikimono
いきれ,いきれ,ikire
威儀,いぎ,igi
幾,いく,iku
育英,いくえい,ikuei
戦,いくさ,ikusa
行く先,いくさき,ikusaki
育成,いくせい,ikusei
